HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE,MR,PHOA
'29AC,,n 27 3,,,,,,21 1,20 1,,19 1,,18 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'2990,n 31 3,sec riser 22 6,,,,,,natt,natt,,natt,,natt,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 4 inches from lowest power.
",266
'2974,,n 31 2,,,,,,23 5,22 2,,21 3,,20 2,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",293
'2958,,n 27 4,,,,,,22 8,21 8,,20 9,,19 6,,,,,,ank n,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",284
'293C,,n 26 10,,,,,,22 2,21 3,,20 1,,18 11,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",278
'2920,,n 27 2,,,,,,21 7,19 6,,18 7,,17 5,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",271
'2904,,n 29 3,,,,,,22 8,21 8,,20 7,,19 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",284
'28E8,,sec 30 6,n 31,,,,,24 9,23 10,,22 8,,21 8,,,,,,ank n,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",309
'28CC,,sec 32 10,n 33 11,,,,,25 7,23 6,,24 1,,22,,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",319
'28B0,,tdl 25 5,n 25 11,,,,,21 1,20 10,,19 11,,18 9,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'2894,,n 28 4,,,,,,24,23 1,,22 2,,21,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",300
'2878,,n 29 10,,,,,,21,20 3,,19 3,,18 5,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",264
'285C,,n 29 8,,,,,,22 3,20 10,,19 4,,18 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",279
'2840,n 28,tdl 27 2,,,,,,19 6,17 11,,16 10,,16,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",246
'2824,,27 3,,,,,,23 2,22,,20 9,,19 7,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 37 inches from lowest power.
",290
'2808,n 31 2,tdl 30 2,,,,,,23,21 11,,20 10,,19 9,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",288
'27EC,,n 32 6,,,,,,24 4,23 4,,22 4,,21 4,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",304
'27B4,n 27 11,tdl 26 10,,,,,,23 4,22 4,,21 3,,20 2,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 30 inches from lowest power.
",292
'2798,n 30 3,tdl 28 3,,,,,,21 4,20 4,,19 6,,17 10,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",268
'277C,,n 28 9,,,,,,21 3,20 3,,19 3,,18 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",267
'2760,n 31,tdl 30 5,,,,,,23 5,22 5,,21 5,,20 4,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",293
'2744,,n 29 1,,,,,,22 8,21 8,,20 8,,19 7,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",284
'2728,,n 26 11,,,,,,20 11,21 1,,19 9,,18 7,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",265
'270C,n 31 6,sec 29 6,,,,,,26 9,19 8,,18 8,,17 8,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 21 inches from lowest power.
",333
'26F0,n 29 7,sec 27 11 \ 29 2,,,,,,21 9,20 7,,19 5,,18 3,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",273
'26D4,,n 26 5,,,,,,19 6,18 4,,17 4,,16 2,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",246
'26B8,,n 25 4,,,,,,20 3,19 1,,17 11,,16 10,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",255
'269C,,n \ sec 25 9,,,,,,20 6,19 4,,18 4,,17 4,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",258
'2680,,n 26 8,,,,,,22 2,21 2,,19 6,,18 6,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",278
'2664,,tdl 28 9,n 30,,,,,22 6,21 6,,20 6,,19 5,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",282
'2648,sec 26 3,tdl 25 4,n 26 5,,,,,21 4,21,,19 11,,19,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 36 inches from lowest power.
",268
'262C,n 30 9,sec dl 29 3,sec 30,,,,,22 1,21 2,,19 10,,19,,,,,,w side of bridge,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",277
'2BC0,,pole height 28 4,,,,,26,27 9,26 9,,,,25 1,,,,,,change out required,TELCOPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA is 5 inches above the top of this pole.
",345
'2BA4,,pole height 27 4,,,,,26 2,23 11,25 1,,,,20 10,23 3,,,,,ank n,TELCOPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 2 inches from top of this pole.
",326
'2B88,,sec 35+,,,,,24 4,,22 11,,,,,,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",304
'2B6C,sec \ n 26 8,tdl 24 6,,,,,20 6,,19 7,,18 7,,17 10,,,,,,ank w,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 36 inches from lowest power.
",258
'2B50,,pp 27 11,,,,,,,24 1,,,,22 11,,,,,,ank s,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 34 inches from lowest power.
",301
'2B34,n \ sec 31 8,tdl 30 9,,dl 26 11,,,23 5,26 1,24 4,,25 6,,22,22 4,23 4,,,,ank s,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",325
'2B18,n 28 9,tdl 27 3,,,,,natt,,21 6,,,,20 6,19 10,,,,,ank e,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",270
'2AFC,n 27 7,tdl 26 7,,,,,21 7,,20 11,,,,18 9,20 1,23 9,,,,ank e,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 22 inches from lowest power.
",297
'2AE0,n \ sec 27 4,tdl 26 3,,,,,23 5,,22 8,,,,,,,,,,,JNTTRANS,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
PHOA within 22 inches from lowest power.
",293
'2AA8,,sec 28,,dl 23 1,,,pp 22 1,21 6,natt,,,,,,,,,,ank n,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",277
'2A8C,n \ sec 30 11,sec dl 29 10,24 5 \ 26 9,dl 22 9,,,24 4,23 9,22 9,,,,21 3,22 4,,,,,ank w,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",304
'2A70,n 29 10,sec riser 27 7,23 7,sec 29 2,,,,22 7,21 8,,,,20 5,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 0 inches from street light or traffic circuit.
",283
'2A54,tdl 27 2,n 24,21 3,dl 24 5,,,,21 5,20 5,,,,20 1,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA is 14 inches above a street light or traffic circuit.
PHOA within 19 inches from lowest power.
",269
'2A38,,sec dl 28 4,,,,,,23 11,22 11,,,,22,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",289
,,sec dl 28 4,,,,,,23 11,22 11,,,,22,,,,,,,JNTPL,"Needs Make Ready for the following reason(s):
PHOA within 13 inches from street light or traffic circuit.
",289
